Problem,TrainSize,SeriesLength
BeetleFly,20,512
BirdChicken,20,512
Chinatown,20,24
Coffee,28,286
Computers,250,720
DistalPhalanxOutlineCorrect,600,80
DodgerLoopGame,20,288
DodgerLoopWeekend,20,288
Earthquakes,322,512
ECG200,100,96
ECGFiveDays,23,136
FordA,3601,500
FordB,3636,500
FreezerRegularTrain,150,301
FreezerSmallTrain,28,301
GunPoint,50,150
GunPointAgeSpan,135,150
GunPointMaleVersusFemale,135,150
GunPointOldVersusYoung,136,150
Ham,109,431
HandOutlines,1000,2709
Herring,64,512
HouseTwenty,40,2000
ItalyPowerDemand,67,24
Lightning2,60,637
MiddlePhalanxOutlineCorrect,600,80
MoteStrain,20,84
PhalangesOutlinesCorrect,1800,80
PowerCons,180,144
ProximalPhalanxOutlineCorrect,600,80
SemgHandGenderCh2,300,1500
ShapeletSim,20,500
SonyAIBORobotSurface1,20,70
SonyAIBORobotSurface2,27,65
Strawberry,613,235
ToeSegmentation1,40,277
ToeSegmentation2,36,343
TwoLeadECG,23,82
Wafer,1000,152
Wine,57,234
WormsTwoClass,181,900
Yoga,300,426
